state,date,sex,ethnicity,annual_birth,annual_death
Johor,2012-01-01,both,overall,60444,17201
Johor,2013-01-01,both,overall,57402,17696
Johor,2014-01-01,both,overall,60443,17904
Johor,2015-01-01,both,overall,60543,18853
Johor,2016-01-01,both,overall,59561,19924
Johor,2017-01-01,both,overall,61085,20662
Johor,2018-01-01,both,overall,61084,21117
Johor,2019-01-01,both,overall,60261,21799
Johor,2020-01-01,both,overall,56908,20646
Johor,2021-01-01,both,overall,49990,26951
Johor,2022-01-01,both,overall,48254,25305
Kedah,2012-01-01,both,overall,36390,12268
Kedah,2013-01-01,both,overall,35032,12516
Kedah,2014-01-01,both,overall,36505,13017
Kedah,2015-01-01,both,overall,36784,13674
Kedah,2016-01-01,both,overall,35967,13771
Kedah,2017-01-01,both,overall,36693,14332
Kedah,2018-01-01,both,overall,35643,14552
Kedah,2019-01-01,both,overall,34511,14302
Kedah,2020-01-01,both,overall,33828,13671
Kedah,2021-01-01,both,overall,33040,18457
Kedah,2022-01-01,both,overall,30796,17628
Kelantan,2012-01-01,both,overall,37025,9890
Kelantan,2013-01-01,both,overall,36413,10042
Kelantan,2014-01-01,both,overall,39279,10588
Kelantan,2015-01-01,both,overall,39108,10789
Kelantan,2016-01-01,both,overall,38455,10809
Kelantan,2017-01-01,both,overall,39122,11203
Kelantan,2018-01-01,both,overall,38360,11316
Kelantan,2019-01-01,both,overall,36858,11410
Kelantan,2020-01-01,both,overall,36275,10928
Kelantan,2021-01-01,both,overall,34764,13926
Kelantan,2022-01-01,both,overall,33808,13445
Melaka,2012-01-01,both,overall,14278,4575
Melaka,2013-01-01,both,overall,13692,4747
Melaka,2014-01-01,both,overall,14568,4728
Melaka,2015-01-01,both,overall,14554,4959
Melaka,2016-01-01,both,overall,14402,5186
Melaka,2017-01-01,both,overall,14389,5523
Melaka,2018-01-01,both,overall,14388,5407
Melaka,2019-01-01,both,overall,14136,5547
Melaka,2020-01-01,both,overall,13855,5444
Melaka,2021-01-01,both,overall,13192,7083
Melaka,2022-01-01,both,overall,13105,6630
Negeri Sembilan,2012-01-01,both,overall,17903,5895
Negeri Sembilan,2013-01-01,both,overall,17509,6213
Negeri Sembilan,2014-01-01,both,overall,18676,6410
Negeri Sembilan,2015-01-01,both,overall,18423,6611
Negeri Sembilan,2016-01-01,both,overall,18036,6810
Negeri Sembilan,2017-01-01,both,overall,18078,7111
Negeri Sembilan,2018-01-01,both,overall,18177,7298
Negeri Sembilan,2019-01-01,both,overall,17464,7168
Negeri Sembilan,2020-01-01,both,overall,17120,7011
Negeri Sembilan,2021-01-01,both,overall,16777,9165
Negeri Sembilan,2022-01-01,both,overall,15991,8636
Pahang,2012-01-01,both,overall,27411,7791
Pahang,2013-01-01,both,overall,26968,8146
Pahang,2014-01-01,both,overall,28743,8301
Pahang,2015-01-01,both,overall,28059,8471
Pahang,2016-01-01,both,overall,27626,8878
Pahang,2017-01-01,both,overall,27555,9261
Pahang,2018-01-01,both,overall,27006,9246
Pahang,2019-01-01,both,overall,25887,9179
Pahang,2020-01-01,both,overall,25344,8686
Pahang,2021-01-01,both,overall,24507,10366
Pahang,2022-01-01,both,overall,23568,11022
Perak,2012-01-01,both,overall,37712,16395
Perak,2013-01-01,both,overall,35427,16386
Perak,2014-01-01,both,overall,36586,16925
Perak,2015-01-01,both,overall,36284,17159
Perak,2016-01-01,both,overall,35685,17820
Perak,2017-01-01,both,overall,34838,18047
Perak,2018-01-01,both,overall,33869,18600
Perak,2019-01-01,both,overall,33005,18740
Perak,2020-01-01,both,overall,31582,17946
Perak,2021-01-01,both,overall,30816,21303
Perak,2022-01-01,both,overall,29543,22341
Perlis,2012-01-01,both,overall,4143,1655
Perlis,2013-01-01,both,overall,4050,1741
Perlis,2014-01-01,both,overall,4509,1671
Perlis,2015-01-01,both,overall,4315,1767
Perlis,2016-01-01,both,overall,4392,1884
Perlis,2017-01-01,both,overall,4447,2004
Perlis,2018-01-01,both,overall,4371,2042
Perlis,2019-01-01,both,overall,4060,1996
Perlis,2020-01-01,both,overall,4101,1950
Perlis,2021-01-01,both,overall,4076,2234
Perlis,2022-01-01,both,overall,3746,2422
Pulau Pinang,2012-01-01,both,overall,23794,9133
Pulau Pinang,2013-01-01,both,overall,21499,9538
Pulau Pinang,2014-01-01,both,overall,22877,9678
Pulau Pinang,2015-01-01,both,overall,22242,10226
Pulau Pinang,2016-01-01,both,overall,21781,10729
Pulau Pinang,2017-01-01,both,overall,21464,10727
Pulau Pinang,2018-01-01,both,overall,20705,11209
Pulau Pinang,2019-01-01,both,overall,20200,10896
Pulau Pinang,2020-01-01,both,overall,19645,10701
Pulau Pinang,2021-01-01,both,overall,18571,13978
Pulau Pinang,2022-01-01,both,overall,17731,12920
Sabah,2012-01-01,both,overall,58185,8066
Sabah,2013-01-01,both,overall,56823,8253
Sabah,2014-01-01,both,overall,57397,12188
Sabah,2015-01-01,both,overall,54699,12511
Sabah,2016-01-01,both,overall,52071,12834
Sabah,2017-01-01,both,overall,52528,13719
Sabah,2018-01-01,both,overall,53025,13940
Sabah,2019-01-01,both,overall,52973,14713
Sabah,2020-01-01,both,overall,49587,14868
Sabah,2021-01-01,both,overall,41608,18873
Sabah,2022-01-01,both,overall,43617,17395
Sarawak,2012-01-01,both,overall,43178,11246
Sarawak,2013-01-01,both,overall,40413,11231
Sarawak,2014-01-01,both,overall,41049,11686
Sarawak,2015-01-01,both,overall,39754,12200
Sarawak,2016-01-01,both,overall,37985,12608
Sarawak,2017-01-01,both,overall,37654,13117
Sarawak,2018-01-01,both,overall,36624,13828
Sarawak,2019-01-01,both,overall,36672,14025
Sarawak,2020-01-01,both,overall,35449,14114
Sarawak,2021-01-01,both,overall,31274,17596
Sarawak,2022-01-01,both,overall,30937,16627
Selangor,2012-01-01,both,overall,107946,21020
Selangor,2013-01-01,both,overall,103173,21677
Selangor,2014-01-01,both,overall,108932,22647
Selangor,2015-01-01,both,overall,108131,23804
Selangor,2016-01-01,both,overall,104661,25588
Selangor,2017-01-01,both,overall,103987,26733
Selangor,2018-01-01,both,overall,102125,27387
Selangor,2019-01-01,both,overall,98836,27786
Selangor,2020-01-01,both,overall,93577,25405
Selangor,2021-01-01,both,overall,90118,42051
Selangor,2022-01-01,both,overall,83658,32861
Terengganu,2012-01-01,both,overall,25698,6177
Terengganu,2013-01-01,both,overall,25465,6424
Terengganu,2014-01-01,both,overall,27013,6460
Terengganu,2015-01-01,both,overall,27629,6715
Terengganu,2016-01-01,both,overall,27521,6843
Terengganu,2017-01-01,both,overall,27911,7048
Terengganu,2018-01-01,both,overall,28242,7099
Terengganu,2019-01-01,both,overall,27085,7341
Terengganu,2020-01-01,both,overall,27177,6736
Terengganu,2021-01-01,both,overall,26337,8469
Terengganu,2022-01-01,both,overall,25304,8686
Kuala Lumpur,2012-01-01,both,overall,26982,6996
Kuala Lumpur,2013-01-01,both,overall,25333,7183
Kuala Lumpur,2014-01-01,both,overall,27100,7647
Kuala Lumpur,2015-01-01,both,overall,25789,7608
Kuala Lumpur,2016-01-01,both,overall,25739,8077
Kuala Lumpur,2017-01-01,both,overall,24732,8205
Kuala Lumpur,2018-01-01,both,overall,24235,8485
Kuala Lumpur,2019-01-01,both,overall,23921,8845
Kuala Lumpur,2020-01-01,both,overall,23199,8334
Kuala Lumpur,2021-01-01,both,overall,21046,13334
Kuala Lumpur,2022-01-01,both,overall,19853,9962
Labuan,2012-01-01,both,overall,1773,242
Labuan,2013-01-01,both,overall,1743,245
Labuan,2014-01-01,both,overall,1871,274
Labuan,2015-01-01,both,overall,1953,246
Labuan,2016-01-01,both,overall,1752,277
Labuan,2017-01-01,both,overall,1685,247
Labuan,2018-01-01,both,overall,1691,287
Labuan,2019-01-01,both,overall,1678,298
Labuan,2020-01-01,both,overall,1714,319
Labuan,2021-01-01,both,overall,1522,517
Labuan,2022-01-01,both,overall,1374,392
Putrajaya,2012-01-01,both,overall,3150,142
Putrajaya,2013-01-01,both,overall,2972,164
Putrajaya,2014-01-01,both,overall,3064,194
Putrajaya,2015-01-01,both,overall,2869,193
Putrajaya,2016-01-01,both,overall,2569,163
Putrajaya,2017-01-01,both,overall,2517,229
Putrajaya,2018-01-01,both,overall,2400,218
Putrajaya,2019-01-01,both,overall,2316,209
Putrajaya,2020-01-01,both,overall,2143,211
Putrajaya,2021-01-01,both,overall,2106,266
Putrajaya,2022-01-01,both,overall,1839,253
